Time (s),Thrust (N)
0.019200000000000002,441.2110129870131
0.0193,443.50898701298706
0.0194,445.8069610389611
0.0195,448.1049350649351
0.0196,450.40290909090913
0.019700000000000002,452.7008831168832
0.0198,454.9988571428572
0.0199,457.2968311688312
0.02,459.59480519480525
0.0201,461.89277922077923
0.020200000000000003,464.19075324675333
0.020300000000000002,466.4887272727274
0.0204,468.78670129870136
0.0205,471.0846753246754
0.0206,473.3826493506494
0.0207,475.68062337662343
0.020800000000000003,477.9785974025975
0.020900000000000002,480.2765714285715
0.021,482.5745454545455
0.0211,484.87251948051954
0.0212,487.17049350649353
0.0213,489.46846753246757
0.021400000000000002,491.76644155844167
0.021500000000000002,494.06441558441566
0.0216,496.3623896103897
0.0217,498.6603636363637
0.0218,500.9583376623377
0.0219,503.2563116883117
0.022000000000000002,505.5542857142858
0.0221,507.8522597402598
0.0222,510.15023376623384
