Time (s),Thrust (N),Mass Flow Rate (kg/s)
2.93,1639.0619434628975,0.968073001925415
2.9301,1639.0535512367492,0.968068045256393
2.9302,1639.0451590106009,0.968063088587371
2.9303000000000003,1639.0367667844523,0.968058131918349
2.9304,1639.028374558304,0.968053175249327
2.9305000000000003,1639.0199823321555,0.9680482185803049
2.9306,1639.0115901060071,0.9680432619112829
2.9307000000000003,1639.0031978798586,0.9680383052422609
2.9308,1638.9948056537103,0.9680333485732389
2.9309000000000003,1638.986413427562,0.9680283919042169
2.931,1638.9780212014134,0.9680234352351949
2.9311000000000003,1638.969628975265,0.9680184785661728
2.9312,1638.9612367491168,0.9680135218971508
2.9313000000000002,1638.9528445229682,0.9680085652281288
2.9314,1638.94445229682,0.9680036085591068
2.9315,1638.9360600706714,0.9679986518900847
2.9316,1638.927667844523,0.9679936952210628
2.9317,1638.9192756183745,0.9679887385520407
2.9318,1638.9108833922262,0.9679837818830187
2.9319,1638.9024911660779,0.9679788252139968
2.932,1638.8940989399293,0.9679738685449747
2.9321,1638.885706713781,0.9679689118759527
2.9322000000000004,1638.8773144876325,0.9679639552069306
2.9323,1638.8689222614842,0.9679589985379087
2.9324000000000003,1638.8605300353358,0.9679540418688867
2.9325,1638.8521378091873,0.9679490851998646
2.9326000000000003,1638.843745583039,0.9679441285308427
2.9327,1638.8353533568904,0.9679391718618205
2.9328000000000003,1638.8269611307421,0.9679342151927985
2.9329,1638.8185689045938,0.9679292585237766
2.9330000000000003,1638.8101766784453,0.9679243018547545
2.9331,1638.801784452297,0.9679193451857325
2.9332000000000003,1638.7933922261484,0.9679143885167104
2.9333,1638.785,0.9679094318476885
2.9334000000000002,1638.7766077738515,0.9679044751786664
2.9335,1638.7682155477032,0.9678995185096444
2.9336,1638.759823321555,0.9678945618406225
2.9337,1638.7514310954064,0.9678896051716004
2.9338,1638.743038869258,0.9678846485025784
2.9339,1638.7346466431095,0.9678796918335564
2.934,1638.7262544169612,0.9678747351645344
2.9341,1638.7178621908129,0.9678697784955124
2.9342,1638.7094699646643,0.9678648218264904
2.9343000000000004,1638.701077738516,0.9678598651574684
2.9344,1638.6926855123675,0.9678549084884462
2.9345000000000003,1638.6842932862191,0.9678499518194243
2.9346,1638.6759010600708,0.9678449951504023
2.9347000000000003,1638.6675088339223,0.9678400384813802
2.9348,1638.659116607774,0.9678350818123582
2.9349000000000003,1638.6507243816254,0.9678301251433362
2.935,1638.642332155477,0.9678251684743142
2.9351000000000003,1638.6339399293286,0.9678202118052921
2.9352,1638.6255477031802,0.9678152551362702
2.9353000000000002,1638.617155477032,0.9678102984672482
2.9354,1638.6087632508834,0.9678053417982261
2.9355,1638.600371024735,0.9678003851292042
2.9356,1638.5919787985868,0.9677954284601822
2.9357,1638.5835865724382,0.9677904717911601
2.9358,1638.57519434629,0.9677855151221382
2.9359,1638.5668021201413,0.9677805584531161
2.936,1638.558409893993,0.967775601784094
2.9361,1638.5500176678445,0.9677706451150719
2.9362,1638.5416254416962,0.96776568844605
2.9363,1638.5332332155479,0.967760731777028
2.9364000000000003,1638.5248409893993,0.9677557751080059
2.9365,1638.516448763251,0.967750818438984
2.9366000000000003,1638.5080565371024,0.9677458617699619
2.9367,1638.4996643109541,0.9677409051009399
2.9368000000000003,1638.4912720848056,0.9677359484319178
2.9369,1638.4828798586573,0.9677309917628959
2.9370000000000003,1638.474487632509,0.9677260350938739
2.9371,1638.4660954063604,0.9677210784248518
2.9372000000000003,1638.457703180212,0.9677161217558299
2.9373,1638.4493109540638,0.9677111650868079
2.9374000000000002,1638.4409187279152,0.9677062084177858
2.9375,1638.432526501767,0.9677012517487639
2.9376,1638.4241342756184,0.9676962950797418
2.9377,1638.41574204947,0.9676913384107197
2.9378,1638.4073498233215,0.9676863817416977
2.9379,1638.3989575971732,0.9676814250726757
2.938,1638.3905653710249,0.9676764684036537
2.9381,1638.3821731448763,0.9676715117346317
2.9382,1638.373780918728,0.9676665550656097
2.9383000000000004,1638.3653886925795,0.9676615983965876
2.9384,1638.3569964664312,0.9676566417275657
2.9385000000000003,1638.3486042402828,0.9676516850585437
2.9386,1638.3402120141343,0.9676467283895216
