# Launch Canada 2024 Drag Coefficients

# Simulation 6 (Up to date)
# 1324 data points written for 2 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (125 ft/s)
#
# Drag force (N),Drag coefficient (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
4.716,0.469
4.791,0.469
4.919,0.469
4.796,0.469
4.817,0.469
4.818,0.469
4.78,0.469
4.801,0.469
4.811,0.469
4.746,0.469
4.741,0.469
4.776,0.469
# Event APOGEE occurred at t=27.357 seconds
4.754,0.469
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=27.358 seconds
4.882,0.469
341.521,NaN
340.414,NaN
325.296,NaN
315.237,NaN
303.502,NaN
282.723,NaN
271.373,NaN
263.023,NaN
241.787,NaN
226.921,NaN
215.41,NaN
201.664,NaN
187.921,NaN
180.925,NaN
164.698,NaN
144.564,NaN
137.877,NaN
124.01,NaN
121.518,NaN
114.709,NaN
111.519,NaN
114.311,NaN
110.212,NaN
111.804,NaN
122.273,NaN
126.043,NaN
133.159,NaN
139.805,NaN
142.482,NaN
144.205,NaN
145.202,NaN
146.392,NaN
147.953,NaN
148.959,NaN
150.095,NaN
150.464,NaN
150.875,NaN
151.384,NaN
151.987,NaN
151.982,NaN
151.901,NaN
152.204,NaN
152.279,NaN
152.579,NaN
152.278,NaN
152.284,NaN
152.337,NaN
152.21,NaN
152.245,NaN
152.264,NaN
152.378,NaN
152.271,NaN
152.309,NaN
152.366,NaN
152.407,NaN
152.258,NaN
152.278,NaN
152.284,NaN
152.356,NaN
152.302,NaN
152.283,NaN
152.409,NaN
152.301,NaN
152.255,NaN
152.368,NaN
152.248,NaN
152.408,NaN
152.269,NaN
152.245,NaN
152.347,NaN
152.432,NaN
152.218,NaN
152.246,NaN
152.245,NaN
152.248,NaN
152.247,NaN
152.277,NaN
152.277,NaN
152.36,NaN
152.277,NaN
152.288,NaN
152.319,NaN
152.345,NaN
152.263,NaN
152.336,NaN
152.261,NaN
152.283,NaN
152.318,NaN
152.289,NaN
152.445,NaN
152.232,NaN
152.387,NaN
152.24,NaN
152.488,NaN
152.271,NaN
152.207,NaN
152.793,NaN
152.177,NaN
152.178,NaN
152.198,NaN
152.352,NaN
152.251,NaN
152.274,NaN
152.207,NaN
152.513,NaN
152.176,NaN
152.28,NaN
152.196,NaN
152.222,NaN
152.219,NaN
152.261,NaN
152.329,NaN
152.41,NaN
152.258,NaN
152.24,NaN
152.25,NaN
152.256,NaN
152.281,NaN
152.312,NaN
152.399,NaN
152.218,NaN
152.248,NaN
152.273,NaN
152.234,NaN
152.493,NaN
152.203,NaN
152.259,NaN
152.238,NaN
152.249,NaN
152.29,NaN
152.608,NaN
152.181,NaN
152.179,NaN
152.213,NaN
152.223,NaN
152.286,NaN
152.21,NaN
152.245,NaN
152.632,NaN
152.286,NaN
152.146,NaN
152.55,NaN
152.196,NaN
152.15,NaN
152.22,NaN
152.187,NaN
152.21,NaN
152.223,NaN
152.247,NaN
152.464,NaN
152.331,NaN
152.263,NaN
152.335,NaN
152.302,NaN
152.517,NaN
152.147,NaN
152.327,NaN
152.336,NaN
152.26,NaN
152.228,NaN
152.234,NaN
152.488,NaN
152.215,NaN
152.22,NaN
152.218,NaN
152.255,NaN
152.214,NaN
152.275,NaN
152.261,NaN
152.225,NaN
152.208,NaN
152.221,NaN
152.22,NaN
152.23,NaN
